iter	Passed	Remaining
0	0	78
1	1	74
2	2	68
3	2	63
4	3	63
5	4	63
6	4	63
7	5	61
8	6	61
9	6	60
10	7	60
11	8	60
12	8	60
13	9	59
14	10	58
15	10	57
16	11	56
17	12	56
18	13	55
19	13	54
20	14	54
21	15	53
22	15	52
23	16	51
24	17	51
25	17	50
26	18	49
27	19	49
28	19	48
29	20	47
30	21	47
31	21	46
32	22	46
33	23	45
34	24	45
35	24	44
36	25	43
37	26	42
38	27	42
39	27	41
40	28	40
41	28	39
42	29	38
43	30	38
44	30	37
45	31	36
46	32	36
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	36	31
53	36	31
54	37	30
55	38	29
56	38	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	26
62	43	25
63	44	24
64	44	24
65	45	23
66	46	22
67	47	22
68	47	21
69	48	20
70	49	20
71	50	19
72	51	18
73	51	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	68	0
99	69	0
